farm_id,crop_variety,genomic_drought_resistance,genomic_disease_resistance,avg_temperature,total_rainfall_mm,satellite_ndvi,disease_severity,yield_percentage
FARM_0000,Sahbhagi-Dhan (Drought Tolerant),0.7,0.7,34.4,823.5,0.648,0.4,84.8
FARM_0001,IR-64 (Standard),0.14,0.48,24.8,709.7,0.782,0.06,100.0
FARM_0002,Sahbhagi-Dhan (Drought Tolerant),0.91,0.61,33.2,637.1,0.585,0.47,75.0
FARM_0003,Sahbhagi-Dhan (Drought Tolerant),0.82,0.59,21.6,530.8,0.626,0.51,82.5
FARM_0004,IR-64 (Standard),0.15,0.22,27.7,295.9,0.563,0.4,61.8
FARM_0005,IR-64 (Standard),0.33,0.31,36.0,890.2,0.543,0.61,65.9
FARM_0006,Sahbhagi-Dhan (Drought Tolerant),0.82,0.74,31.2,746.9,0.794,0.15,100.0
FARM_0007,Swarna-Sub1 (Flood Tolerant),0.21,0.76,28.1,550.2,0.691,0.34,85.5
FARM_0008,Sahbhagi-Dhan (Drought Tolerant),0.78,0.67,33.7,557.1,0.652,0.53,80.4
FARM_0009,Sahbhagi-Dhan (Drought Tolerant),0.88,0.75,32.4,478.2,0.878,0.09,100.0
FARM_0010,Sahbhagi-Dhan (Drought Tolerant),0.83,0.38,32.2,618.9,0.713,0.14,76.6
FARM_0011,Sahbhagi-Dhan (Drought Tolerant),0.93,0.35,29.2,491.1,0.677,0.35,72.5
FARM_0012,IR-64 (Standard),0.17,0.43,33.8,561.6,0.568,0.48,70.4
FARM_0013,Sahbhagi-Dhan (Drought Tolerant),0.86,0.23,27.4,587.6,0.548,0.49,54.6
FARM_0014,Swarna-Sub1 (Flood Tolerant),0.11,0.69,27.2,986.1,0.712,0.28,91.4
FARM_0015,IR-64 (Standard),0.1,0.79,37.5,318.0,0.644,0.39,77.2
FARM_0016,Swarna-Sub1 (Flood Tolerant),0.45,0.69,28.0,532.0,0.697,0.21,89.5
FARM_0017,Swarna-Sub1 (Flood Tolerant),0.12,0.53,21.9,745.5,0.767,0.15,99.8
FARM_0018,Swarna-Sub1 (Flood Tolerant),0.39,0.38,34.2,665.3,0.72,0.16,94.6
FARM_0019,Swarna-Sub1 (Flood Tolerant),0.45,0.32,35.4,635.5,0.648,0.19,88.8
FARM_0020,IR-64 (Standard),0.14,0.42,29.1,1102.3,0.728,0.27,84.7
FARM_0021,IR-64 (Standard),0.27,0.6,21.6,717.6,0.754,0.03,100.0
FARM_0022,Swarna-Sub1 (Flood Tolerant),0.48,0.47,29.8,375.0,0.756,0.2,97.8
FARM_0023,Swarna-Sub1 (Flood Tolerant),0.43,0.76,38.3,352.1,0.732,0.21,72.5
FARM_0024,IR-64 (Standard),0.3,0.71,30.8,492.3,0.573,0.24,88.0
